date;Filière de production;Plage de puissance injection;Total
2018-01-03;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-03;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-03;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-03;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28514983
2018-01-03;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;761540814
2018-01-03;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37161824812
2018-01-03;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-03;F2 : Bioénergies;P0 : Total toutes puissances;14142336511
2018-01-03;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-03;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-03;F2 : Bioénergies;P3 : ]9 - 100] kW;60918674
2018-01-03;F2 : Bioénergies;P4 : ]100 - 250] kW;741640141
2018-01-03;F2 : Bioénergies;P5 : ]250 - 1000] kW;1060767648
2018-01-03;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10353121815
2018-01-03;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-03;F3 : Hydraulique;P0 : Total toutes puissances;15215254481
2018-01-03;F3 : Hydraulique;P1 : ]0 - 3] kW;943525566
2018-01-03;F3 : Hydraulique;P2 : ]3 - 9] kW;774351
2018-01-03;F3 : Hydraulique;P3 : ]9 - 100] kW;191242472
2018-01-03;F3 : Hydraulique;P4 : ]100 - 250] kW;871290729
2018-01-03;F3 : Hydraulique;P5 : ]250 - 1000] kW;3660956641
2018-01-03;F3 : Hydraulique;P6 : ]1000 - 12000] kW;8316846919
2018-01-03;F3 : Hydraulique;P7 : > 12000 kW;1228359151
2018-01-03;F4 : Eolien;P0 : Total toutes puissances;205631904030
2018-01-03;F4 : Eolien;P1 : ]0 - 3] kW;102236278
2018-01-03;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-03;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-03;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-03;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-03;F4 : Eolien;P6 : ]1000 - 12000] kW;180700561309
2018-01-03;F4 : Eolien;P7 : > 12000 kW;24712105646
2018-01-03;F5 : Solaire;P0 : Total toutes puissances;5503013429
2018-01-03;F5 : Solaire;P1 : ]0 - 3] kW;555813578
2018-01-03;F5 : Solaire;P2 : ]3 - 9] kW;330793512
2018-01-03;F5 : Solaire;P3 : ]9 - 100] kW;1126017417
2018-01-03;F5 : Solaire;P4 : ]100 - 250] kW;754003878
2018-01-03;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-03;F5 : Solaire;P6 : ]1000 - 12000] kW;2470685322
2018-01-03;F5 : Solaire;P7 : > 12000 kW;0
2018-01-03;F6 : Autres;P0 : Total toutes puissances;234131896
2018-01-03;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-03;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-03;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-03;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-03;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-03;F6 : Autres;P6 : ]1000 - 12000] kW;238275317
2018-01-03;F6 : Autres;P7 : > 12000 kW;0
2018-01-04;F0 : Total toutes filières;P0 : Total toutes puissances;263980541038
2018-01-04;F0 : Total toutes filières;P1 : ]0 - 3] kW;1977442685
2018-01-04;F0 : Total toutes filières;P2 : ]3 - 9] kW;291015510
